word,status,calification,definition,length,language
ABABA,true,Sustantivo femenino,"Botánica: (Papaver rhoeas) Planta herbácea de ciclo anual, de origen desconocido pero hoy cosmopolita, dotada de flores rojas empleadas en decoración; los alcaloides de su savia y tallos han tenido uso medicinal y sus semillas se aprecian en gastronomía.",5,esp
ABACA,true,Sustantivo masculino,"Plantas: (Musa textilis) Planta herbácea perenne perteneciente a la familia Musaceae, Orden Zingiberales. Puede alcanzar hasta seis metros de altura. Es originaria de Asia suroriental. De sus hojas se saca un filamento de uso textil.",5,esp
ABACO,true,Sustantivo masculino,"Matemáticas: Cuadro de madera con diez cuerdas o alambres paralelos y en cada uno de ellos otras tantas bolas movibles , usado en las escuelas para enseñar los rudimentos de la aritmética.",5,esp
ABADA,true,Sustantivo femenino,"Mamíferos: (familia Rhinocerotidae) Cualquiera de cinco especies de mamíferos perisodáctilos nativos del Asia y África, de gran tamaño, cuerpo robusto recubierto de una gruesa piel protectora y uno o dos característicos cuernos queratinosos sobre el morro",5,esp
ABADI,false,N/A,N/A,5,esp
ABAJA,true,Forma verbal,Tercera persona del singular del presente de indicativo de abajar.,5,esp
ABAJE,true,Forma verbal,Primera persona del singular del presente de subjuntivo de abajar.,5,esp
ABAJO,true,Adverbio de lugar,"Hacia un lugar o parte inferior, o en un lugar o parte inferior.",5,esp
ABALA,true,Forma verbal,Tercera persona del singular del presente de indicativo de abalar.,5,esp
ABALE,true,Forma verbal,Primera persona del singular del presente de subjuntivo de abalar.,5,esp
ABALO,false,N/A,N/A,5,esp
ABANA,true,Forma verbal,Tercera persona del singular del presente de indicativo de abanar.,5,esp
ABANE,true,Forma verbal,Primera persona del singular del presente de subjuntivo de abanar.,5,esp
ABANO,true,Sustantivo masculino,Abanico.,5,esp
ABAÑA,false,N/A,N/A,5,esp
ABAÑE,false,N/A,N/A,5,esp
ABAÑO,false,N/A,N/A,5,esp
ABASI,false,N/A,N/A,5,esp
ABATA,true,Forma verbal,Primera persona del singular del presente de subjuntivo de abatir.,5,esp
ABATE,true,Sustantivo masculino,Religión: Clérigo por lo común de órdenes menores vestido de hábito clerical a la romana.,5,esp
ABATI,true,Sustantivo masculino,Alimentos: Maíz.,5,esp
ABATO,false,N/A,N/A,5,esp
